time,value
1,0.10875186153151895
2,0.5193320169232147
3,0.7086926012029119
4,0.7068005030529635
5,0.503712819579969
6,0.015419710421320398
7,0.24161220193240485
8,0.8827764583757036
9,0.7646892659520341
10,0.5184597824174453
11,0.5767782497412067
12,0.14564048501979865
13,0.5472182197272065
14,0.3057243258220387
15,0.7992671722131298
16,0.19461483396643386
17,0.08218879245120692
18,0.11685113546968284
19,0.07205320365544543
20,0.6360537156469842
21,0.7996791047566472
22,0.25659661608543927
23,0.4243051728524596
24,0.7836167806222462
25,0.7637948224855937
26,0.10321653001801334
27,0.4792796623238039
28,0.23562156048399696
29,0.10459940344049357
30,0.5531060413252478
31,0.9734163066529743
32,0.028912567531401367
33,0.9088128751689276
34,0.6913628352036243
35,0.4924818556320054
36,0.9677594346365056
37,0.32306344330979875
38,0.6574577159774685
39,0.4760982764685615
40,0.737784284941849
41,0.9815488385264532
42,0.752608537994213
43,0.4681613288334624
44,0.7563449199959226
45,0.39403513469607454
46,0.8404549679760511
47,0.16997191139851364
48,0.9647618162370909
49,0.017360492459006394
50,0.31316532171877753
51,0.26575697665978437
52,0.057529199118987795
53,0.5197892969186273
54,0.12539905215335345
55,0.8560511476284268
56,0.06210386716160177
57,0.8856569769593353
58,0.5557908886144652
59,0.4025598250486596
60,0.3541928442930855
61,0.5574558673878696
62,0.36585081194322344
63,0.14306424948585084
64,0.3981458096012649
65,0.3662707641903281
66,0.2823241122852155
67,0.4765727253528639
68,0.07893508511657032
69,0.255518364960607
70,0.20517953432219616
71,0.27568484294603157
72,0.1413814889242634
73,0.5906404462562681
74,0.9879430423741206
75,0.939266110841221
76,0.1840080132231986
77,0.18411932070430692
78,0.550739902481069
79,0.6854716139736434
80,0.7300853812929857
81,0.5497650719217139
82,0.1572575393454264
83,0.570884347673861
84,0.2683395292662014
85,0.9048273427224817
86,0.39759254677064537
87,0.8974607788433902
88,0.11893049597594585
89,0.5593952027571614
90,0.3109533249351184
91,0.9309641084342865
92,0.3218662706130314
93,0.2028643165119126
94,0.5056756763061676
95,0.5838819469787297
96,0.768472371720153
97,0.5187157143970373
98,0.919235703483021
99,0.026493789462956996
100,0.04329414169593859
